site	atom	cn start
1	('La', 1)	8
2	('La', 2)	5
3	('La', 3)	5
4	('La', 4)	8
5	('La', 5)	9
6	('La', 6)	6
7	('La', 7)	9
8	('La', 8)	6
9	('La', 9)	6
10	('La', 10)	9
11	('La', 11)	9
12	('La', 12)	6
13	('La', 13)	8
14	('La', 14)	5
15	('La', 15)	8
16	('La', 16)	5
17	('La', 17)	5
18	('La', 18)	7
19	('La', 19)	7
20	('La', 20)	5
21	('La', 21)	8
22	('La', 22)	8
23	('La', 23)	8
24	('La', 24)	8
25	('La', 25)	9
26	('La', 26)	9
27	('La', 27)	9
28	('La', 28)	9
29	('La', 29)	9
30	('La', 30)	9
31	('La', 31)	9
32	('La', 32)	9
33	('La', 33)	8
34	('La', 34)	8
35	('La', 35)	8
36	('La', 36)	8
37	('La', 37)	7
38	('La', 38)	7
39	('La', 39)	7
40	('La', 40)	7
41	('La', 41)	5
42	('La', 42)	8
43	('La', 43)	8
44	('La', 44)	5
45	('La', 45)	6
46	('La', 46)	9
47	('La', 47)	6
48	('La', 48)	9
49	('La', 49)	9
50	('La', 50)	6
51	('La', 51)	6
52	('La', 52)	9
53	('La', 53)	5
54	('La', 54)	8
55	('La', 55)	5
56	('La', 56)	8
57	('La', 57)	7
58	('La', 58)	5
59	('La', 59)	5
60	('La', 60)	7
61	('Ti', 1)	6
62	('Ti', 2)	5
63	('Ti', 3)	6
64	('Ti', 4)	5
65	('Ti', 5)	6
66	('Ti', 6)	5
67	('Ti', 7)	6
68	('Ti', 8)	5
69	('Ti', 9)	6
70	('Ti', 10)	6
71	('Ti', 11)	6
72	('Ti', 12)	6
73	('Ti', 13)	6
74	('Ti', 14)	6
75	('Ti', 15)	6
76	('Ti', 16)	6
77	('Ti', 17)	5
78	('Ti', 18)	6
79	('Ti', 19)	5
80	('Ti', 20)	6
81	('Ti', 21)	5
82	('Ti', 22)	6
83	('Ti', 23)	5
84	('Ti', 24)	6
85	('Ag', 1)	4
86	('Ag', 2)	3
87	('Ag', 3)	3
88	('Ag', 4)	4
89	('Ag', 5)	4
90	('Ag', 6)	4
91	('Ag', 7)	4
92	('Ag', 8)	4
93	('Ag', 9)	3
94	('Ag', 10)	4
95	('Ag', 11)	4
96	('Ag', 12)	3
97	('S', 1)	5
98	('S', 2)	3
99	('S', 3)	5
100	('S', 4)	3
101	('S', 5)	7
102	('S', 6)	5
103	('S', 7)	5
104	('S', 8)	7
105	('S', 9)	6
106	('S', 10)	4
107	('S', 11)	6
108	('S', 12)	4
109	('S', 13)	5
110	('S', 14)	3
111	('S', 15)	5
112	('S', 16)	3
113	('S', 17)	4
114	('S', 18)	6
115	('S', 19)	4
116	('S', 20)	6
117	('S', 21)	5
118	('S', 22)	5
119	('S', 23)	5
120	('S', 24)	5
121	('S', 25)	7
122	('S', 26)	7
123	('S', 27)	7
124	('S', 28)	7
125	('S', 29)	6
126	('S', 30)	6
127	('S', 31)	6
128	('S', 32)	6
129	('S', 33)	5
130	('S', 34)	5
131	('S', 35)	5
132	('S', 36)	5
133	('S', 37)	6
134	('S', 38)	6
135	('S', 39)	6
136	('S', 40)	6
137	('S', 41)	3
138	('S', 42)	5
139	('S', 43)	3
140	('S', 44)	5
141	('S', 45)	5
142	('S', 46)	7
143	('S', 47)	7
144	('S', 48)	5
145	('S', 49)	4
146	('S', 50)	6
147	('S', 51)	4
148	('S', 52)	6
149	('S', 53)	3
150	('S', 54)	5
151	('S', 55)	3
152	('S', 56)	5
153	('S', 57)	6
154	('S', 58)	4
155	('S', 59)	6
156	('S', 60)	4
157	('O', 1)	4
158	('O', 2)	3
159	('O', 3)	4
160	('O', 4)	3
161	('O', 5)	4
162	('O', 6)	3
163	('O', 7)	3
164	('O', 8)	4
165	('O', 9)	4
166	('O', 10)	3
167	('O', 11)	4
168	('O', 12)	3
169	('O', 13)	3
170	('O', 14)	4
171	('O', 15)	4
172	('O', 16)	3
173	('O', 17)	4
174	('O', 18)	3
175	('O', 19)	4
176	('O', 20)	3
177	('O', 21)	3
178	('O', 22)	4
179	('O', 23)	4
180	('O', 24)	3
181	('O', 25)	4
182	('O', 26)	3
183	('O', 27)	3
184	('O', 28)	4
185	('O', 29)	4
186	('O', 30)	4
187	('O', 31)	4
188	('O', 32)	4
189	('O', 33)	4
190	('O', 34)	4
191	('O', 35)	4
192	('O', 36)	4
193	('O', 37)	4
194	('O', 38)	4
195	('O', 39)	4
196	('O', 40)	4
197	('O', 41)	4
198	('O', 42)	4
199	('O', 43)	4
200	('O', 44)	4
201	('O', 45)	4
202	('O', 46)	4
203	('O', 47)	4
204	('O', 48)	4
205	('O', 49)	4
206	('O', 50)	4
207	('O', 51)	4
208	('O', 52)	4
209	('O', 53)	4
210	('O', 54)	4
211	('O', 55)	4
212	('O', 56)	4
213	('O', 57)	3
214	('O', 58)	4
215	('O', 59)	3
216	('O', 60)	4
217	('O', 61)	3
218	('O', 62)	4
219	('O', 63)	4
220	('O', 64)	3
221	('O', 65)	3
222	('O', 66)	4
223	('O', 67)	3
224	('O', 68)	4
225	('O', 69)	4
226	('O', 70)	3
227	('O', 71)	3
228	('O', 72)	4
229	('O', 73)	3
230	('O', 74)	4
231	('O', 75)	3
232	('O', 76)	4
233	('O', 77)	4
234	('O', 78)	3
235	('O', 79)	3
236	('O', 80)	4
237	('O', 81)	3
238	('O', 82)	4
239	('O', 83)	4
240	('O', 84)	3
