planar,macroscopic
1.1769211752762574,-0.17560212888900723
0.5535288814932612,-0.27896528216187894
-0.13803727650126957,-0.37898623043102764
-0.8926475067403906,-0.4748161252836677
-1.685379145456282,-0.5658374340564084
-2.480477610478424,-0.6519442671571518
-3.2705756253112317,-0.7334183775473293
-4.061341592469419,-0.8107594896647127
-4.854998806348307,-0.8845710797266785
-5.653901629399166,-0.9554594910775978
-6.441522592495405,-1.0242015417174113
-7.187818741305275,-1.091997296064924
-7.871160134054113,-1.160345090561956
-8.459788001802194,-1.230782079176693
-8.94774050818053,-1.30451128514237
-9.334547410302665,-1.3821900602934685
-9.617785030241482,-1.4638376124735903
-9.804944227638277,-1.5490612814227334
-9.910923164531752,-1.6373028190476104
-9.928423001204616,-1.72784163094321
-9.858095098054871,-1.8199474557326958
-9.710519921106398,-1.9130069694348613
-9.470404860812973,-2.006448560594524
-9.175116094779746,-2.099706517549487
-8.84833271086799,-2.1922531870075774
-8.485515276788748,-2.2836247325774184
-8.063604196615355,-2.3735680332043985
-7.564758966994859,-2.462039517292891
-6.981540838632774,-2.54913443707923
-6.3394735553586425,-2.634956093116447
-5.707954442234833,-2.719466558741069
-5.149369456862747,-2.8025646193319416
-4.686540909726598,-2.8843479976681037
-4.303961464839522,-2.9652714704323557
-3.9546027117614106,-3.0460461393080376
-3.6140270212145857,-3.1274554132088883
-3.298019665874293,-3.210052886588346
-3.020551807886389,-3.2941043503306964
-2.7855876263731236,-3.3799019796360774
-2.5808630566136626,-3.467659212630272
-2.4175418518263214,-3.5574393006181344
-2.3378292818233244,-3.649174653162713
-2.3823574627331356,-3.742603384379489
-2.5469513997482305,-3.837156614908247
-2.819101088026385,-3.9319998486206758
-3.1854581531046375,-4.02621429776918
-3.6112773816250052,-4.1189915590783555
-4.060904624256641,-4.209735617649508
-4.500815087108412,-4.2979643430413805
-4.889287069481589,-4.383325164939078
-5.21640869240299,-4.465637545387934
-5.507571852095304,-4.544716151511899
-5.790767846880381,-4.62045086442944
-6.094356830660249,-4.692891236216572
-6.418872823342325,-4.762311495714476
-6.735636398897019,-4.8293378419303075
-7.001608981373422,-4.894807472058476
-7.211896397199734,-4.959543983529104
-7.37624543730681,-5.024324250465363
-7.5141024801075185,-5.089958575423931
-7.648583051953057,-5.15704364536537
-7.79063154597315,-5.225638900074919
-7.965226997124502,-5.295514396299912
-8.181835164860463,-5.3663225679701085
-8.42825535897065,-5.437593290843464
-8.670316058677308,-5.508803053719294
-8.85410891103064,-5.579309366946877
-8.931796611855285,-5.648408727578903
-8.880403816378752,-5.71534100715156
-8.689517460472862,-5.779116782195608
-8.356027094552102,-5.8386478325608335
-7.891490599909949,-5.8928137847764965
-7.308921530874577,-5.940487818839137
-6.640558325559293,-5.980898755587177
-5.957434251212315,-6.013695917178298
-5.313516540540942,-6.038936234846203
-4.739018783713188,-6.056838109050627
-4.248446765070398,-6.067650975536754
-3.842115288217305,-6.071669395361912
-3.5438038672422687,-6.069433182477486
-3.4122609486668787,-6.06181609140938
-3.489029188338727,-6.0498283139927675
-3.779422266818298,-6.034374572199294
-4.237078109092101,-6.016225859570329
-4.786067423548783,-5.9959692338527635
-5.337769580711716,-5.974140119875251
-5.834855078723363,-5.951384085754554
-6.254387797775465,-5.928384871272928
-6.57372312185754,-5.905649207104253
-6.791597305077648,-5.883598675979783
-6.924187625783692,-5.862456837682022
-6.977371523795485,-5.842231163462576
-6.9518938762179605,-5.823019921069824
-6.85312372974331,-5.804655635127359
-6.689858816027714,-5.786806629687286
-6.491467638598601,-5.7691249291555655
-6.287007488406414,-5.751414161695525
-6.095854415139978,-5.733752633941627
-5.919060676385336,-5.716488817185421
-5.737076548038853,-5.70002883395413
-5.541043742893811,-5.6848091633117
-5.358698344614931,-5.671408835533776
-5.239616684796539,-5.66056958554398
-5.219516586700294,-5.653115663288808
-5.308404232237856,-5.6498604368541265
-5.474432171196416,-5.651450324252417
-5.677565220766358,-5.658292999273175
-5.921581034582357,-5.670572230881171
-6.195525582751127,-5.68849155231879
-6.478654955428408,-5.712324059843856
-6.752803488669899,-5.742055941801107
-6.991130272351595,-5.776912955682587
-7.151030516967701,-5.815428646996382
-7.1958034337251275,-5.85604535772454
-7.11387031470766,-5.897245919634394
-6.920880866755057,-5.937557361841627
-6.6466046104210585,-5.975858214801892
-6.307315560853299,-6.011472098782845
-5.92144002511555,-6.044065754029266
-5.5135536789551916,-6.0737876596440215
-5.083672548959279,-6.101001627738896
-4.643269477906543,-6.1259206913537465
-4.215642318703014,-6.148472329504165
-3.8336257800540987,-6.16822901900549
-3.547912479462479,-6.184664703175608
-3.3904179758094535,-6.197380347772947
-3.362035319683348,-6.206080144636362
-3.460465451398785,-6.210463105971326
-3.6898853290957025,-6.210215528999308
-4.032898835816535,-6.204928605524874
-4.438895510168419,-6.19432986238821
-4.86680472849224,-6.178516725673972
-5.2979089896191764,-6.157636596770286
-5.719169759437241,-6.131797674977895
-6.119654302945803,-6.101131821506389
-6.474355418844309,-6.0660721146833865
-6.767222443880986,-6.0275962977928454
-6.98624737866792,-5.987169081938651
-7.103183397725999,-5.9467400475458705
-7.097894825490099,-5.90860482779441
-6.975538476483957,-5.875078388970592
-6.764728011208226,-5.848029624560618
-6.509767714717961,-5.828671060793408
-6.244184606622037,-5.817576152606506
-5.988881766317188,-5.814589780921961
-5.7589361397263445,-5.818976028627472
-5.564330034040988,-5.829754648671997
-5.413559162045387,-5.845830503007593
-5.343068038463787,-5.866081865706694
-5.382746934028716,-5.889150747331952
-5.521517680396144,-5.913230259123297
-5.7230900247611265,-5.936371298037089
-5.937116946376094,-5.956785118757403
-6.132069533438984,-5.9731462703599245
-6.300300567428375,-5.984746593286773
-6.454696287464525,-5.9914620521546595
-6.6080534146923275,-5.993451727617994
-6.7506658450859245,-5.991062771146776
-6.863399174903324,-5.984938348763277
-6.919379574666139,-5.975922611473355
-6.8991512046032755,-5.965024821723176
-6.8000421682205285,-5.9534895141627215
-6.622480348777027,-5.942548696522577
-6.367320954697921,-5.933317919044152
-6.027758902879557,-5.926767246879191
-5.601807519669706,-5.923428599434134
-5.109806609203129,-5.923508969672343
-4.581870309520055,-5.926915015621679
-4.0515358862093525,-5.933334104147715
-3.592420222937048,-5.942368343331494
-3.2867238957312446,-5.95342605900368
-3.179885161144953,-5.9656089911875085
-3.267866271370614,-5.977665944322353
-3.502126237340559,-5.988193970012322
-3.8350213695769226,-5.9958763997755185
-4.249151493759764,-5.999796057352649
-4.727365001397867,-5.999488470291524
-5.276373306202108,-5.994582676812075
-5.893581602597869,-5.984860171828638
-6.550273443884217,-5.970365579756488
-7.182954211349094,-5.951456286744061
-7.736038555350564,-5.928966131148284
-8.192674190962213,-5.9042755243937455
-8.545979193496278,-5.878948525564502
-8.788748619909972,-5.854525068176288
-8.93509594310182,-5.832539916145474
-9.011234497609003,-5.814394041243557
-9.031333166361074,-5.8011312017821
-9.020631949932474,-5.793379206892587
-8.999150257590445,-5.79140699915675
-8.971321694559615,-5.7953695233545925
-8.925445549788636,-5.805265567450397
-8.840536671344363,-5.820805654720677
-8.703432922988751,-5.84129943622182
-8.503110997927157,-5.865521518916577
-8.210880745388096,-5.891858676245928
-7.821128022759834,-5.918586046483458
-7.341832238196287,-5.943991592846687
-6.7792201171612625,-5.966440288982092
-6.1753577559568,-5.984679784936625
-5.592605542694061,-5.998047743851963
-5.062889079512198,-6.006389025525776
-4.590225035718092,-6.00984408414441
-4.1657017264313785,-6.008763052897225
-3.797016810279952,-6.003801566202435
-3.505970363245404,-5.995877284478032
-3.3124136081222773,-5.986101127188505
-3.260768035782078,-5.9756775743386115
-3.3887219150199024,-5.965736762329039
-3.6958520980414318,-5.957272222093681
-4.131712346923429,-5.951048482258212
-4.618081167232346,-5.9474911127120444
-5.098366087579955,-5.946683889178618
-5.542328587060646,-5.948598720132788
-5.923204971606947,-5.9531105650255105
-6.237246969902065,-5.95991487974995
-6.482990517718291,-5.96850554540237
-6.6570547033924035,-5.978116735263228
-6.75037841315307,-5.987563769790979
-6.759313087663825,-5.99547318528233
-6.705633597355809,-6.000616407643267
-6.616943346941956,-6.002050268871644
-6.511278181842485,-5.999204342721064
-6.398512310380704,-5.9917619958768755
-6.271218363347889,-5.979654153031819
-6.1114199681266825,-5.9629365746701115
-5.922322848276233,-5.941980096257225
-5.722428410551227,-5.9177881268428685
-5.538409821778546,-5.891864656850955
-5.409394850508713,-5.865910061843216
-5.3739637728922265,-5.841493552184731
-5.431120224237838,-5.81988398149983
-5.570045660242101,-5.802204305192953
-5.779315385098222,-5.789414493059153
-6.027395643735592,-5.782468091508579
-6.298178951517413,-5.782397053164842
-6.569294802097692,-5.790058103008654
-6.811313981504322,-5.805861638486425
-6.992835794584304,-5.82952814732255
-7.078066221327583,-5.859945868133449
-7.052125918167149,-5.895366868821657
-6.915533170539888,-5.93365892042953
-6.682912157606007,-5.972759231187204
-6.376261969322165,-6.011160631946134
-6.019264574417492,-6.047778017830019
-5.634810619270095,-6.081746158590024
-5.23967574093888,-6.1124741882660345
-4.8440973900533395,-6.139407136769654
-4.463906657399587,-6.161976804006346
-4.12441175994254,-6.179677559808946
-3.864998644538708,-6.192278985619976
-3.7190361780867227,-6.199848624076916
-3.675350596460353,-6.202386669705436
-3.7190097377459925,-6.19984129261224
-3.8649447344718553,-6.192264329425541
-4.124327999054631,-6.179655592560066
-4.463780875710809,-6.161947549122358
-4.843912735473298,-6.139370626957719
-5.23941680367379,-6.112430463062149
-5.634463412459482,-6.081695267774315
-6.018819607223394,-6.047720019938243
-6.375714449271878,-6.011095590125981
-6.682261408713014,-5.972687212231496
-6.914781974033788,-5.933580021411695
-7.051282844589177,-5.895281216826833
-7.077139782700189,-5.859853616571255
-6.9918363958875345,-5.829429417913852
-6.810254091917011,-5.805756447641627
-6.568188773496525,-5.789946355416442
-6.297041799400548,-5.782278533652661
-6.026242881152131,-5.78234246571349
-5.778162137609204,-5.789281312866169
-5.568906416078619,-5.802063021121295
-5.430007652369999,-5.819733955088851
-5.372880259152245,-5.841334067878535
-5.408336580636744,-5.865740334344074
-5.537373532532748,-5.891683837290537
-5.721410528395251,-5.917595344172469
-5.921323732775306,-5.941774483768595
-6.110438639353851,-5.9627173003267036
-6.270253644291007,-5.979420449927256
-6.3975636435716465,-5.9915131652294935
-6.510346109251672,-5.998939766730385
-6.616028206405593,-6.001769417523644
-6.70473588642335,-6.000318850388277
-6.758432559727324,-5.9951586028981625
-6.749514552704694,-5.987231958409175
-6.656205837821178,-5.977767601539999
-6.482155687326576,-5.96813909807234
-6.236425588566369,-5.959531201181764
-5.922396735505592,-5.952709738161082
-5.541533211445532,-5.948180795610616
-5.097583322096709,-5.9462488883847096
-4.617310411965605,-5.947039029525376
-4.130952895187207,-5.950579310127326
-3.695102915301177,-5.956785942788392
-3.3879820964902665,-5.9652333443225425
-3.2600368460273264,-5.975156968989515
-3.311690868590406,-5.985563284823021
-3.505256362073741,-5.995322128258127
-3.7963118430193794,-6.003228994049012
-4.1650053421212885,-6.008172929989557
-4.589537068099622,-6.009236283771193
-5.062209087349691,-6.0057635059179795
-5.591933189890208,-5.997404567762067
-6.174692537493027,-5.9840191284750945
-6.778561740930226,-5.965762448195924
-7.341180614430737,-5.9432969796936765
-7.820483415652022,-5.917875182605145
-8.21024299139224,-5.891132174842682
-8.50248033463924,-5.8647800652751005
-8.702809466687363,-5.840543775325007
-8.83992094283181,-5.820036597678019
-8.924838007436916,-5.804483951263053
-8.970723059400374,-5.794576189615969
-8.998561126363343,-5.79060276293205
-9.020053148205184,-5.792564822236044
-9.030765348498138,-5.800307323451743
-9.010678500445554,-5.813561210400046
-8.93455239908227,-5.8316985477276395
-8.788218300865168,-5.853675493416967
-8.545462533326434,-5.878091063630865
-8.192171777542077,-5.903410497479371
-7.735550736958624,-5.928093864048878
-7.182481518800911,-5.950577118641192
-6.5498164597675235,-5.969479873252296
-5.893140985476254,-5.983968377870806
-5.275949168448302,-5.993685360886317
-4.726958112581568,-5.99858632634521
-4.24876224534574,-5.998889902006835
-3.834649805884219,-5.994967142214275
-3.5017721440108964,-5.987282541034846
-3.2675333990363313,-5.976753185586315
-3.1795771606313497,-5.964695612833367
-3.286444309862802,-5.952512590739384
-3.5921644093808247,-5.941455133576339
-4.051289370356915,-5.932421311890718
-4.581617297860489,-5.926002601248782
-5.109530530791396,-5.922596697428283
-5.601492099149263,-5.92251604669852
-6.027388833734533,-5.925853815680993
-6.366882483180627,-5.932402844655328
-6.6219615479216385,-5.941631083440782
-6.79943248804598,-5.95256837624329
-6.898441401955346,-5.964099175163034
-6.918560517680577,-5.974991558956261
-6.862467492370654,-5.984001085668128
-6.749622318881407,-5.990118601225435
-6.606903599618635,-5.992500046304109
-6.453450141400151,-5.990502368113856
-6.298968594243558,-5.983778536629447
-6.130663696203824,-5.972169592343833
-5.935650047323608,-5.95579968378323
-5.7215761397910985,-5.935377078730035
-5.519972568776206,-5.91222732329794
-5.381186933748975,-5.888139191706587
-5.3415090985769424,-5.865061765240003
-5.4120164311485155,-5.844801923018821
-5.562815419873776,-5.8287176316251195
-5.757450237480966,-5.817930616467507
-5.987420332427348,-5.8135360105150395
-6.242743077441425,-5.816514053387003
-6.508341928933472,-5.827600654160982
-6.763317367018874,-5.846950933505126
-6.9741419080148335,-5.873991437911882
-7.0965116615232,-5.907509643937075
-7.101812239260395,-5.945636659128658
-6.984887722635916,-5.98605751910322
-6.765874087988437,-6.026476587213408
-6.4730181178252835,-6.064944277494195
-6.118327319973704,-6.099995875537378
-5.717851835889378,-6.130653638686696
-5.296599263501517,-6.156484482840446
-4.865503240063795,-6.177356545572889
-4.437602890628314,-6.193161625478458
-4.031616243292841,-6.203752323346454
-3.6886138596920244,-6.209031210959446
-3.459205999278272,-6.209270757558882
-3.360788142345314,-6.204879764442565
-3.3891826882733347,-6.196171933730645
-3.5466888674768446,-6.183448249361359
-3.83241446467466,-6.167004519689182
-4.214444117641804,-6.147239775272798
-4.642085705472982,-6.124680071603172
-5.082504310205351,-6.099752927760318
-5.512401984194089,-6.072530863892542
-5.920305059035447,-6.042800841932087
-6.3061969432136635,-6.010199047332266
-6.6455016484780955,-5.974577001123432
-6.919794095355117,-5.936267963702723
-7.112800437818661,-5.895948309709198
-7.194751901402558,-5.854739507897421
-7.149997690907476,-5.814114523786086
-6.990117122803483,-5.7755905221382156
-6.751810889998216,-5.74072515709614
-6.477683017683605,-5.710984877559796
-6.194573374629425,-5.687143914979259
-5.9206510024598975,-5.669216077565715
-5.676660429425307,-5.656928257750479
-5.473555996057491,-5.650076916597708
-5.307554885331202,-5.648478284990657
-5.218681001367123,-5.651724697409834
-5.2387793613741245,-5.659169716113813
-5.357842773525597,-5.669999958794546
-5.540153237036827,-5.683391160647018
-5.73613518158629,-5.698601634178002
-5.918053312687787,-5.715052462159127
-6.094768142447289,-5.732307281189376
-6.285831347963328,-5.749960088676589
-6.490192769715999,-5.767662565150775
-6.688477165041714,-5.785336547976635
-6.851631607256816,-5.803178544934365
-6.950291351918631,-5.821536606609549
-6.975661308996637,-5.840742394538237
-6.922377927895223,-5.860963340101085
-6.789697745482308,-5.882101128817873
-6.5717451908608275,-5.904148199093578
-6.252344598711196,-5.926880869300302
-5.832761370908748,-5.949877412974919
-5.335641067958061,-5.972630931944982
-4.783920387871279,-5.994457523540993
-4.234928819327899,-6.014711459126888
-3.7772861040115484,-6.032857154085776
-3.4869198813621085,-6.048307415349568
-3.410182268529293,-6.060291131449347
-3.5417522738495495,-6.067903485303909
-3.8400877690768107,-6.070134228025143
-4.246439183602141,-6.066109562258962
-4.737030481658187,-6.055289665371207
-5.3115465081126265,-6.037380060222924
-5.955481170648461,-6.012131443787113
-6.6386208296798035,-5.979325561232343
-7.3069992408016775,-5.938905631111584
-7.889583007726244,-5.891222454512276
-8.354133552802974,-5.837047329352914
-8.687637208120222,-5.777507173737854
-8.878536382491465,-5.713722386372747
-8.929941335906673,-5.64678116720289
-8.852265311103109,-5.5776729177611095
-8.668483971021837,-5.507157745402962
-8.426434419876363,-5.435939161860486
-8.180024405470803,-5.364659665894857
-7.963425807159365,-5.293842771867734
-7.788839296764385,-5.2239585981591645
-7.646799541144432,-5.1553547042435985
-7.512327119136042,-5.08826102289182
-7.3744775917524485,-5.022618102490115
-7.210135372483817,-4.957829242801742
-6.999854522435334,-4.893084138164096
-6.733888207308519,-4.82760591485086
-6.417131042254627,-4.760570975446923
-6.092621468954407,-4.691142116297499
-5.789039197358971,-4.61869313152354
-5.50585006524361,-4.5429497813053
-5.214694248742513,-4.463862504977856
-4.887580095702013,-4.38154141298278
-4.499115899122978,-4.296171836472853
-4.059214077417561,-4.207934315226883
-3.609596197603781,-4.117181424321027
-3.183786395765105,-4.024395289630217
-2.81743908148962,-3.930171920886983
-2.5452989860664386,-3.835319710359707
-2.3807145079046914,-3.740757443176142
-2.3361957779523896,-3.6473196080163905
-2.4159176042158115,-3.555575077989996
-2.5792471867816147,-3.465785737802057
-2.78397976796569,-3.3780191846678975
-3.018951158263761,-3.2922121493559278
-3.296425825110484,-3.208151171795167
-3.6124400125040084,-3.125544052221446
-3.9530234702765767,-3.044125012732957
-4.30239099888947,-2.963340552636454
-4.684980893253223,-2.882407374655111
-5.147821367356333,-2.8006144956631527
-5.706420230187742,-2.71750725916193
-6.337954459733258,-2.6329880567526467
-6.980037143065197,-2.54715821208755
-7.563270771513995,-2.460055744544222
-8.062136329060944,-2.3715774325430075
-8.48407244652915,-2.2816280874319874
-8.84692006030518,-2.1902513388776934
-9.17373212077222,-2.097700334327779
-9.469037010133611,-2.0044389097988686
-9.709152835191038,-1.9109946989377646
-9.856713149314219,-1.817933354485194
-9.927010260693663,-1.7258264185463625
-9.909463477615882,-1.63528713255797
-9.80342317039035,-1.5470456635044574
-9.616189278238961,-1.4618224997236595
-9.332864826089098,-1.3801757762145752
-8.945960742643141,-1.3024980362109102
-8.457901646609068,-1.228769954715667
-7.8691624554582384,-1.15833406934549
-7.185709106645399,-1.089987257992173
-6.439304119533232,-1.0221923396598014
-5.651582336828388,-0.9534510032735743
-4.852587889649394,-0.8825632061850568
-4.058849752475865,-0.8087521600569959
-3.268015121869553,-0.7314115263746191
-2.47786264784963,-0.6499378360924534
-1.6827254023283396,-0.5638313743432164
-0.8899716421479501,-0.4728103979123659
-0.13535581971502372,-0.3769807992044104
0.5562004891364818,-0.2769601144514723
1.1795699689700643,-0.17359719680760816
1.7642732044893918,-0.06783514025997464
2.3199417419743225,0.039300432993752056
2.8401725844191117,0.14680565497002537
3.328590839957227,0.25375219720560616
3.7810557924304518,0.359376397920884
4.1899981033329645,0.4632593751875336
4.546949006268621,0.565369442888225
4.848396905427263,0.6659213875624622
5.0983383636353645,0.7652171368189353
5.294405464604182,0.8634911576524941
5.435752076145011,0.9607975720389806
5.546445497405543,1.0571124036454684
5.63878140228743,1.1522447367622044
5.712290352266466,1.2458643987958098
5.771167709670417,1.337570452546771
5.818196957095363,1.4269978188715338
5.8559647659384595,1.5140904011918066
5.886239974862411,1.5989990797134288
5.910627099309452,1.6818702424346454
5.930229803121503,1.7626469005514636
5.9460660758444694,1.841070034553809
5.958818509976168,1.9166986040243958
5.969150187435969,1.9891622263512287
5.977478626667427,2.058391329854845
5.984247817490815,2.1245568667289167
5.98970536188876,2.1880869538561907
5.994157447607986,2.2496590108978887
5.99774196440194,2.3100471496487853
6.000678783670627,2.370114821230141
6.003035268439859,2.4307561740600008
6.0049775110187715,2.4925723705018994
6.006526905903841,2.5558616063023774
6.007815451520477,2.6208410936451147
6.008833624689767,2.6878169449651903
6.009691603568666,2.75706608879254
6.010358952046811,2.828765616885253
6.010932378032541,2.902978388843445
6.0113674063566505,2.979943749761988
6.01175263663309,3.060238705890765
6.012033953304098,3.144552502708792
6.012295095760615,3.2334095182642852
6.012474846075364,3.3268859777426845
6.012654020205489,3.424558168946428
6.012766200715813,3.5258194651570416
6.012890884005113,3.63011607869699
6.012958025181321,3.7370232509936208
6.013046657599907,3.846281394335673
6.013084000696847,3.957664177668048
6.013148951012109,4.0707742175418264
6.013166350015276,4.184945986921552
6.013215561525734,4.299623294877577
6.013219599727047,4.414174511694667
6.0132583946221665,4.527962652131544
6.013253499804659,4.6404039310060465
6.013285472638173,4.750806707420113
6.0132745085108965,4.858426146060378
6.013301962443055,4.962534170505579
6.013286896748963,5.062406806024202
6.013311379670371,5.157362312810157
6.0132934838360015,5.246948144552102
6.013316026227129,5.330866714450932
6.013296228198329,5.409037267849864
6.013317600192177,5.481497275829207
6.013296441108423,5.548267971158509
6.013317012495465,5.609353916806458
6.0132948942084194,5.664719595872715
6.013314979604139,5.7143818105258015
6.0132921729321565,5.758615279589399
6.013311999694142,5.797873322911389
6.013288652000836,5.832646838882231
6.013308299776546,5.863213655798364
6.013284518795319,5.889783002573981
6.013304059642622,5.912609480169658
6.013279928401781,5.931922302670883
6.013299420187927,5.947979779939748
6.013275004925306,5.961095371539757
6.013294502559605,5.9716427689451885
6.0132698498853925,5.980021621753527
6.013289354720234,5.9866021321312
6.0132644805856,5.991772233178176
6.013284001549354,5.995925249253355
6.013258930742493,5.99928205508232
6.0132785002358125,6.001974370493446
6.0132532640750895,6.004137989719866
6.013272876887386,6.005877827143352
6.013247473563512,6.007279469946133
6.013267117146518,6.0084091979493275
6.0132415530055106,6.009321264032239
6.013261229495226,6.010057678853634
6.013235530623983,6.0106532123309035
6.01325525728862,6.011134611118805
6.013229426012236,6.011524410948333
6.013249189398882,6.0118396770986235
6.013223229730895,6.012095171586435
6.013243029201402,6.012301761539111
6.013216942729607,6.012469233825653
6.013236778469953,6.012604471118016
6.013210571855931,6.012714065714399
6.013230439134754,6.012802326195515
6.013204118642304,6.012873778614122
6.013224008300733,6.012931051798565
6.013197582376738,6.012977323382883
6.0132175083799995,6.013014118359123
6.013190979497599,6.013043733469748
6.013210934610536,6.01306696928679
6.013184303299308,6.0130855490571
6.013204274424251,6.013099796329299
6.013177534543614,6.013111058857722
6.013197527517993,6.013119342602099
6.013170702480315,6.013125747494129
6.013190724432316,6.0131300661596985
6.013163805806339,6.013133236643706
6.0131838442143355,6.013134910265263
6.013156835523712,6.013135921698626
6.013176888926477,6.013135827958634
6.013149803772968,6.013135395934973
6.013169873066601,6.013134117848603
6.013142707264168,6.013132715887823
6.013162794467531,6.013130638092786
6.01313554519379,6.013128579834013
6.013155659959549,6.013125958695425
6.013128350335612,6.013123453113525
6.0131484853168775,6.0131204592817005
6.0131210954661025,6.01311764518767
6.013141228353742,6.0131143917507215
6.013113751273898,6.013111361728597
6.013133881630445,6.013107924615954
6.0131063366022435,6.013104740275746
6.013126492597222,6.013101169947214
6.01309887910898,6.013097872561847
6.013119032802094,6.013094202874537
6.013091356652759,6.013090819826269
6.013111528903489,6.013087072767499
6.013083797215192,6.013083622080521
6.013103987881435,6.013079812954666
6.01307619463099,6.013076306959339
6.013096380124872,6.0130724458047204
6.013068510893246,6.013068892717689
6.01308868891699,6.013064986122596
6.013060755831943,6.013061391438959
6.013080943784971,6.013057444324337
6.013052970218207,6.013053812064033
6.013073167627592,6.013049827910762
6.013045132802655,6.013046161046641
6.01306533573438,6.013042142502581
6.013037245623593,6.013038443230498
6.013057445786294,6.013034392037268
6.0130293061318865,6.013030661740863
6.0130495101338655,6.013026579274578
6.013021310594772,6.01302281919876
6.0130415076317805,6.013018706683421
6.01301324443398,6.013014917901968
6.013033424738854,6.01301077612204
6.013005111534883,6.013006959103961
6.013025306681909,6.013002788587327
6.0129969583824785,6.012998943944882
6.013017160387051,6.012994745434012
6.012988759483414,6.012990873913423
6.013008956461917,6.012986648191691
6.012980507362637,6.012982750277616
6.013000686280583,6.012978497561562
6.012972182326233,6.012974573459094
6.012992360473297,6.012970294056705
6.012963820912716,6.012966344056608
6.012984009718222,6.012962038366983
6.012955431246529,6.012958062864812
6.012975613299134,6.0129537312158865
6.0129469905457755,6.0129497305143005
6.012967154626377,6.012945373308496
6.0129384836562165,6.012941347792233
6.012958656124086,6.012936965544982
6.012929953217854,6.012932915626659
6.012950125066573,6.01292850852825
6.0129213821374465,6.012924434364146
6.012941540119826,6.012920002554207
6.012912748868166,6.012915904230409
6.012932897807444,6.012911448071312
6.012904077101567,6.012907326106748
6.012924233296282,6.012902846061566
6.012895390274738,6.012898700765879
6.012915543352496,6.012894197050018
6.012886653601837,6.012890028592597
6.012906789953105,6.012885501438966
6.01287785414623,6.012881309974571
6.012897973892353,6.012876759488743
6.012869003594616,6.012872545084744
6.012889128148498,6.012867971380452
6.012860137501846,6.012863734207281
6.012880252045774,6.012859137547127
6.0128512232620075,6.012854877930691
6.01287132384293,6.012850258556141
6.012842251998568,6.012845976585353
6.012862340734522,6.0128413345257545
6.012833244902271,6.01283703019093
6.012853335435548,6.012832365646863
6.012824203785686,6.012828039267674
6.01284427346004,6.012823352578182
6.0128151040045275,6.012819004476826
6.012835147269878,6.012814295803473
6.012805939691178,6.012809926080355
6.0128259844890755,6.012805195697187
6.012796759023246,6.012800804518922
6.012816795618501,6.012796052419813
6.01278754400154,6.01279163979535
6.012807560857932,6.012786865982394
6.012778279112286,6.0127824318533944
6.012798293834773,6.012777636426316
6.012768982976201,6.012773180990144
6.0127889909752525,6.012768364157574
6.0127596508440915,6.012763887679495
6.0127796346130165,6.012759049692538
6.012750262337909,6.0127545522029715
6.012770234289095,6.0127496930460325
6.012740842563536,6.012745174638926
6.012760806105806,6.012740294362902
6.01273138670045,6.0127357550248455
6.012751338685102,6.01273085376612
6.0127218919066125,6.012726293648368
6.0127418300468864,6.012721371482533
6.0127123619170675,6.012716790691732
6.012732290120569,6.0127118478196495
6.012702792825899,6.012707246581623
6.012722698562141,6.012702283322012
6.0126931750753805,6.012697661916483
6.01271306826352,6.0126926782973715
6.012683524135578,6.01268803655375
