site_index,site,cn_start,nn_start
1,"('La', 1)",8,O O O S S S S S
2,"('La', 2)",5,O O S S S
3,"('La', 3)",5,O O S S S
4,"('La', 4)",8,O O O S S S S S
5,"('La', 5)",9,O O O O S S S S S
6,"('La', 6)",6,O O O S S S
7,"('La', 7)",9,O O O O S S S S S
8,"('La', 8)",6,O O O S S S
9,"('La', 9)",6,O O O S S S
10,"('La', 10)",9,O O O O S S S S S
11,"('La', 11)",9,O O O O S S S S S
12,"('La', 12)",6,O O O S S S
13,"('La', 13)",8,O O O S S S S S
14,"('La', 14)",5,O O S S S
15,"('La', 15)",8,O O O S S S S S
16,"('La', 16)",5,O O S S S
17,"('La', 17)",5,O O O O S
18,"('La', 18)",7,O O O O O S S
19,"('La', 19)",7,O O O O O S S
20,"('La', 20)",5,O O O O S
21,"('La', 21)",8,O O O S S S S S
22,"('La', 22)",8,O O O S S S S S
23,"('La', 23)",8,O O O S S S S S
24,"('La', 24)",8,O O O S S S S S
25,"('La', 25)",9,O O O O S S S S S
26,"('La', 26)",9,O O O O S S S S S
27,"('La', 27)",9,O O O O S S S S S
28,"('La', 28)",9,O O O O S S S S S
29,"('La', 29)",9,O O O O S S S S S
30,"('La', 30)",9,O O O O S S S S S
31,"('La', 31)",9,O O O O S S S S S
32,"('La', 32)",9,O O O O S S S S S
33,"('La', 33)",8,O O O S S S S S
34,"('La', 34)",8,O O O S S S S S
35,"('La', 35)",8,O O O S S S S S
36,"('La', 36)",8,O O O S S S S S
37,"('La', 37)",7,O O O O O S S
38,"('La', 38)",7,O O O O O S S
39,"('La', 39)",7,O O O O O S S
40,"('La', 40)",7,O O O O O S S
41,"('La', 41)",5,O O S S S
42,"('La', 42)",8,O O O S S S S S
43,"('La', 43)",8,O O O S S S S S
44,"('La', 44)",5,O O S S S
45,"('La', 45)",6,O O O S S S
46,"('La', 46)",9,O O O O S S S S S
47,"('La', 47)",6,O O O S S S
48,"('La', 48)",9,O O O O S S S S S
49,"('La', 49)",9,O O O O S S S S S
50,"('La', 50)",6,O O O S S S
51,"('La', 51)",6,O O O S S S
52,"('La', 52)",9,O O O O S S S S S
53,"('La', 53)",5,O O S S S
54,"('La', 54)",8,O O O S S S S S
55,"('La', 55)",5,O O S S S
56,"('La', 56)",8,O O O S S S S S
57,"('La', 57)",7,O O O O O S S
58,"('La', 58)",5,O O O O S
59,"('La', 59)",5,O O O O S
60,"('La', 60)",7,O O O O O S S
61,"('Ti', 1)",6,O O O O O S
62,"('Ti', 2)",5,O O O O S
63,"('Ti', 3)",6,O O O O O S
64,"('Ti', 4)",5,O O O O S
65,"('Ti', 5)",6,O O O O S S
66,"('Ti', 6)",5,O O O S S
67,"('Ti', 7)",6,O O O O S S
68,"('Ti', 8)",5,O O O S S
69,"('Ti', 9)",6,O O O O O S
70,"('Ti', 10)",6,O O O O O S
71,"('Ti', 11)",6,O O O O O S
72,"('Ti', 12)",6,O O O O O S
73,"('Ti', 13)",6,O O O O S S
74,"('Ti', 14)",6,O O O O S S
75,"('Ti', 15)",6,O O O O S S
76,"('Ti', 16)",6,O O O O S S
77,"('Ti', 17)",5,O O O O S
78,"('Ti', 18)",6,O O O O O S
79,"('Ti', 19)",5,O O O O S
80,"('Ti', 20)",6,O O O O O S
81,"('Ti', 21)",5,O O O S S
82,"('Ti', 22)",6,O O O O S S
83,"('Ti', 23)",5,O O O S S
84,"('Ti', 24)",6,O O O O S S
85,"('Ag', 1)",4,S S S S
86,"('Ag', 2)",3,S S S
87,"('Ag', 3)",3,S S S
88,"('Ag', 4)",4,S S S S
89,"('Ag', 5)",4,S S S S
90,"('Ag', 6)",4,S S S S
91,"('Ag', 7)",4,S S S S
92,"('Ag', 8)",4,S S S S
93,"('Ag', 9)",3,S S S
94,"('Ag', 10)",4,S S S S
95,"('Ag', 11)",4,S S S S
96,"('Ag', 12)",3,S S S
97,"('S', 1)",5,La La La La La
98,"('S', 2)",3,La La La
99,"('S', 3)",5,La La La La La
100,"('S', 4)",3,La La La
101,"('S', 5)",7,Ag La La La La La Ti
102,"('S', 6)",5,Ag La La La Ti
103,"('S', 7)",5,Ag La La La Ti
104,"('S', 8)",7,Ag La La La La La Ti
105,"('S', 9)",6,La La La La La Ti
106,"('S', 10)",4,La La La Ti
107,"('S', 11)",6,La La La La La Ti
108,"('S', 12)",4,La La La Ti
109,"('S', 13)",5,Ag Ag La La Ti
110,"('S', 14)",3,Ag La Ti
111,"('S', 15)",5,Ag Ag La La Ti
112,"('S', 16)",3,Ag La Ti
113,"('S', 17)",4,Ag La La La
114,"('S', 18)",6,Ag La La La La La
115,"('S', 19)",4,Ag La La La
116,"('S', 20)",6,Ag La La La La La
117,"('S', 21)",5,La La La La La
118,"('S', 22)",5,La La La La La
119,"('S', 23)",5,La La La La La
120,"('S', 24)",5,La La La La La
121,"('S', 25)",7,Ag La La La La La Ti
122,"('S', 26)",7,Ag La La La La La Ti
123,"('S', 27)",7,Ag La La La La La Ti
124,"('S', 28)",7,Ag La La La La La Ti
125,"('S', 29)",6,La La La La La Ti
126,"('S', 30)",6,La La La La La Ti
127,"('S', 31)",6,La La La La La Ti
128,"('S', 32)",6,La La La La La Ti
129,"('S', 33)",5,Ag Ag La La Ti
130,"('S', 34)",5,Ag Ag La La Ti
131,"('S', 35)",5,Ag Ag La La Ti
132,"('S', 36)",5,Ag Ag La La Ti
133,"('S', 37)",6,Ag La La La La La
134,"('S', 38)",6,Ag La La La La La
135,"('S', 39)",6,Ag La La La La La
136,"('S', 40)",6,Ag La La La La La
137,"('S', 41)",3,La La La
138,"('S', 42)",5,La La La La La
139,"('S', 43)",3,La La La
140,"('S', 44)",5,La La La La La
141,"('S', 45)",5,Ag La La La Ti
142,"('S', 46)",7,Ag La La La La La Ti
143,"('S', 47)",7,Ag La La La La La Ti
144,"('S', 48)",5,Ag La La La Ti
145,"('S', 49)",4,La La La Ti
146,"('S', 50)",6,La La La La La Ti
147,"('S', 51)",4,La La La Ti
148,"('S', 52)",6,La La La La La Ti
149,"('S', 53)",3,Ag La Ti
150,"('S', 54)",5,Ag Ag La La Ti
151,"('S', 55)",3,Ag La Ti
152,"('S', 56)",5,Ag Ag La La Ti
153,"('S', 57)",6,Ag La La La La La
154,"('S', 58)",4,Ag La La La
155,"('S', 59)",6,Ag La La La La La
156,"('S', 60)",4,Ag La La La
157,"('O', 1)",4,La La La Ti
158,"('O', 2)",3,La La Ti
159,"('O', 3)",4,La La La Ti
160,"('O', 4)",3,La La Ti
161,"('O', 5)",4,La La La La
162,"('O', 6)",3,La La La
163,"('O', 7)",3,La La La
164,"('O', 8)",4,La La La La
165,"('O', 9)",4,La La La Ti
166,"('O', 10)",3,La La Ti
167,"('O', 11)",4,La La La Ti
168,"('O', 12)",3,La La Ti
169,"('O', 13)",3,La La Ti
170,"('O', 14)",4,La La Ti Ti
171,"('O', 15)",4,La La Ti Ti
172,"('O', 16)",3,La La Ti
173,"('O', 17)",4,La La Ti Ti
174,"('O', 18)",3,La Ti Ti
175,"('O', 19)",4,La La Ti Ti
176,"('O', 20)",3,La Ti Ti
177,"('O', 21)",3,La La Ti
178,"('O', 22)",4,La La Ti Ti
179,"('O', 23)",4,La La Ti Ti
180,"('O', 24)",3,La La Ti
181,"('O', 25)",4,La La La Ti
182,"('O', 26)",3,La La Ti
183,"('O', 27)",3,La La Ti
184,"('O', 28)",4,La La La Ti
185,"('O', 29)",4,La La La Ti
186,"('O', 30)",4,La La La Ti
187,"('O', 31)",4,La La La Ti
188,"('O', 32)",4,La La La Ti
189,"('O', 33)",4,La La La La
190,"('O', 34)",4,La La La La
191,"('O', 35)",4,La La La La
192,"('O', 36)",4,La La La La
193,"('O', 37)",4,La La La Ti
194,"('O', 38)",4,La La La Ti
195,"('O', 39)",4,La La La Ti
196,"('O', 40)",4,La La La Ti
197,"('O', 41)",4,La La Ti Ti
198,"('O', 42)",4,La La Ti Ti
199,"('O', 43)",4,La La Ti Ti
200,"('O', 44)",4,La La Ti Ti
201,"('O', 45)",4,La La Ti Ti
202,"('O', 46)",4,La La Ti Ti
203,"('O', 47)",4,La La Ti Ti
204,"('O', 48)",4,La La Ti Ti
205,"('O', 49)",4,La La Ti Ti
206,"('O', 50)",4,La La Ti Ti
207,"('O', 51)",4,La La Ti Ti
208,"('O', 52)",4,La La Ti Ti
209,"('O', 53)",4,La La La Ti
210,"('O', 54)",4,La La La Ti
211,"('O', 55)",4,La La La Ti
212,"('O', 56)",4,La La La Ti
213,"('O', 57)",3,La La Ti
214,"('O', 58)",4,La La La Ti
215,"('O', 59)",3,La La Ti
216,"('O', 60)",4,La La La Ti
217,"('O', 61)",3,La La La
218,"('O', 62)",4,La La La La
219,"('O', 63)",4,La La La La
220,"('O', 64)",3,La La La
221,"('O', 65)",3,La La Ti
222,"('O', 66)",4,La La La Ti
223,"('O', 67)",3,La La Ti
224,"('O', 68)",4,La La La Ti
225,"('O', 69)",4,La La Ti Ti
226,"('O', 70)",3,La La Ti
227,"('O', 71)",3,La La Ti
228,"('O', 72)",4,La La Ti Ti
229,"('O', 73)",3,La Ti Ti
230,"('O', 74)",4,La La Ti Ti
231,"('O', 75)",3,La Ti Ti
232,"('O', 76)",4,La La Ti Ti
233,"('O', 77)",4,La La Ti Ti
234,"('O', 78)",3,La La Ti
235,"('O', 79)",3,La La Ti
236,"('O', 80)",4,La La Ti Ti
237,"('O', 81)",3,La La Ti
238,"('O', 82)",4,La La La Ti
239,"('O', 83)",4,La La La Ti
240,"('O', 84)",3,La La Ti
