site_index,site,cn_start,nn_start
1,"('Sn', 1)",5,O O O O O
2,"('Sn', 2)",6,O O O O O O
3,"('Sn', 3)",6,O O O O O O
4,"('Sn', 4)",6,O O O O O O
5,"('Sn', 5)",6,O O O O O O
6,"('Sn', 6)",6,O O O O O O
7,"('Sn', 7)",6,O O O O O O
8,"('Sn', 8)",6,O O O O O O
9,"('Sn', 9)",6,O O O O O O
10,"('Sn', 10)",6,O O O O O O
11,"('Sn', 11)",6,O O O O O O
12,"('Sn', 12)",6,O O O O O O
13,"('Sn', 13)",6,O O O O O O
14,"('Sn', 14)",6,O O O O O O
15,"('Sn', 15)",6,O O O O O O
16,"('Sn', 16)",6,O O O O O O
17,"('Sn', 17)",6,O O O O O O
18,"('Sn', 18)",6,O O O O O O
19,"('Sn', 19)",6,O O O O O O
20,"('Sn', 20)",6,O O O O O O
21,"('Sn', 21)",6,O O O O O O
22,"('Sn', 22)",6,O O O O O O
23,"('Sn', 23)",6,O O O O O O
24,"('Sn', 24)",6,O O O O O O
25,"('Sn', 25)",6,O O O O O O
26,"('Sn', 26)",6,O O O O O O
27,"('Sn', 27)",6,O O O O O O
28,"('Sn', 28)",6,O O O O O O
29,"('Sn', 29)",5,O O O O O
30,"('Sn', 30)",6,O O O O O O
31,"('O', 1)",3,Sn Sn Sn
32,"('O', 2)",2,Sn Sn
33,"('O', 3)",3,Sn Sn Sn
34,"('O', 4)",3,Sn Sn Sn
35,"('O', 5)",3,Sn Sn Sn
36,"('O', 6)",3,Sn Sn Sn
37,"('O', 7)",3,Sn Sn Sn
38,"('O', 8)",3,Sn Sn Sn
39,"('O', 9)",3,Sn Sn Sn
40,"('O', 10)",3,Sn Sn Sn
41,"('O', 11)",3,Sn Sn Sn
42,"('O', 12)",3,Sn Sn Sn
43,"('O', 13)",3,Sn Sn Sn
44,"('O', 14)",3,Sn Sn Sn
45,"('O', 15)",3,Sn Sn Sn
46,"('O', 16)",3,Sn Sn Sn
47,"('O', 17)",3,Sn Sn Sn
48,"('O', 18)",3,Sn Sn Sn
49,"('O', 19)",3,Sn Sn Sn
50,"('O', 20)",3,Sn Sn Sn
51,"('O', 21)",3,Sn Sn Sn
52,"('O', 22)",3,Sn Sn Sn
53,"('O', 23)",3,Sn Sn Sn
54,"('O', 24)",3,Sn Sn Sn
55,"('O', 25)",3,Sn Sn Sn
56,"('O', 26)",3,Sn Sn Sn
57,"('O', 27)",3,Sn Sn Sn
58,"('O', 28)",3,Sn Sn Sn
59,"('O', 29)",3,Sn Sn Sn
60,"('O', 30)",3,Sn Sn Sn
61,"('O', 31)",3,Sn Sn Sn
62,"('O', 32)",3,Sn Sn Sn
63,"('O', 33)",3,Sn Sn Sn
64,"('O', 34)",3,Sn Sn Sn
65,"('O', 35)",3,Sn Sn Sn
66,"('O', 36)",3,Sn Sn Sn
67,"('O', 37)",3,Sn Sn Sn
68,"('O', 38)",3,Sn Sn Sn
69,"('O', 39)",3,Sn Sn Sn
70,"('O', 40)",3,Sn Sn Sn
71,"('O', 41)",3,Sn Sn Sn
72,"('O', 42)",3,Sn Sn Sn
73,"('O', 43)",3,Sn Sn Sn
74,"('O', 44)",3,Sn Sn Sn
75,"('O', 45)",3,Sn Sn Sn
76,"('O', 46)",3,Sn Sn Sn
77,"('O', 47)",3,Sn Sn Sn
78,"('O', 48)",3,Sn Sn Sn
79,"('O', 49)",3,Sn Sn Sn
80,"('O', 50)",3,Sn Sn Sn
81,"('O', 51)",3,Sn Sn Sn
82,"('O', 52)",3,Sn Sn Sn
83,"('O', 53)",3,Sn Sn Sn
84,"('O', 54)",3,Sn Sn Sn
85,"('O', 55)",3,Sn Sn Sn
86,"('O', 56)",3,Sn Sn Sn
87,"('O', 57)",2,Sn Sn
88,"('O', 58)",3,Sn Sn Sn
89,"('O', 59)",3,Sn Sn Sn
90,"('O', 60)",3,Sn Sn Sn
