site	atom	displacement
1	('La', 1)	 0.329
2	('La', 2)	 0.450
3	('La', 3)	 0.450
4	('La', 4)	 0.329
5	('La', 5)	 0.195
6	('La', 6)	 0.292
7	('La', 7)	 0.195
8	('La', 8)	 0.292
9	('La', 9)	 0.253
10	('La', 10)	 0.197
11	('La', 11)	 0.197
12	('La', 12)	 0.253
13	('La', 13)	 0.281
14	('La', 14)	 0.260
15	('La', 15)	 17.969
16	('La', 16)	 18.059
17	('La', 17)	 0.338
18	('La', 18)	 0.206
19	('La', 19)	 0.206
20	('La', 20)	 0.338
21	('La', 21)	 0.179
22	('La', 22)	 0.179
23	('La', 23)	 0.179
24	('La', 24)	 0.179
25	('La', 25)	 0.122
26	('La', 26)	 0.122
27	('La', 27)	 0.122
28	('La', 28)	 0.122
29	('La', 29)	 0.152
30	('La', 30)	 0.152
31	('La', 31)	 0.152
32	('La', 32)	 0.152
33	('La', 33)	 0.163
34	('La', 34)	 0.163
35	('La', 35)	 18.075
36	('La', 36)	 18.075
41	('La', 41)	 0.450
42	('La', 42)	 0.329
43	('La', 43)	 0.329
44	('La', 44)	 0.450
45	('La', 45)	 0.292
46	('La', 46)	 0.195
47	('La', 47)	 0.292
48	('La', 48)	 0.195
49	('La', 49)	 0.197
50	('La', 50)	 0.253
51	('La', 51)	 0.253
52	('La', 52)	 0.197
53	('La', 53)	 0.260
54	('La', 54)	 0.281
55	('La', 55)	 18.059
56	('La', 56)	 17.969
57	('La', 57)	 0.206
58	('La', 58)	 0.338
59	('La', 59)	 0.338
60	('La', 60)	 0.206
62	('Ti', 2)	 0.231
64	('Ti', 4)	 0.231
65	('Ti', 5)	 0.127
66	('Ti', 6)	 0.342
67	('Ti', 7)	 0.127
68	('Ti', 8)	 0.342
77	('Ti', 17)	 0.231
79	('Ti', 19)	 0.231
81	('Ti', 21)	 0.342
82	('Ti', 22)	 0.127
83	('Ti', 23)	 0.342
84	('Ti', 24)	 0.127
85	('Ag', 1)	 0.181
86	('Ag', 2)	 0.416
87	('Ag', 3)	 0.416
88	('Ag', 4)	 0.181
89	('Ag', 5)	 0.206
90	('Ag', 6)	 0.206
91	('Ag', 7)	 0.206
92	('Ag', 8)	 0.206
93	('Ag', 9)	 0.416
94	('Ag', 10)	 0.181
95	('Ag', 11)	 0.181
96	('Ag', 12)	 0.416
97	('S', 1)	 0.239
98	('S', 2)	 0.143
99	('S', 3)	 0.239
100	('S', 4)	 0.143
101	('S', 5)	 0.184
102	('S', 6)	 0.262
103	('S', 7)	 0.262
104	('S', 8)	 0.184
105	('S', 9)	 0.224
106	('S', 10)	 0.111
107	('S', 11)	 0.224
108	('S', 12)	 0.111
109	('S', 13)	 0.163
110	('S', 14)	 0.373
111	('S', 15)	 0.163
112	('S', 16)	 0.373
113	('S', 17)	 0.258
114	('S', 18)	 0.187
115	('S', 19)	 0.258
116	('S', 20)	 0.187
121	('S', 25)	 0.138
122	('S', 26)	 0.138
123	('S', 27)	 0.138
124	('S', 28)	 0.138
129	('S', 33)	 0.133
130	('S', 34)	 0.133
131	('S', 35)	 0.133
132	('S', 36)	 0.133
137	('S', 41)	 0.143
138	('S', 42)	 0.239
139	('S', 43)	 0.143
140	('S', 44)	 0.239
141	('S', 45)	 0.262
142	('S', 46)	 0.184
143	('S', 47)	 0.184
144	('S', 48)	 0.262
145	('S', 49)	 0.111
146	('S', 50)	 0.224
147	('S', 51)	 0.111
148	('S', 52)	 0.224
149	('S', 53)	 0.373
150	('S', 54)	 0.163
151	('S', 55)	 0.373
152	('S', 56)	 0.163
153	('S', 57)	 0.187
154	('S', 58)	 0.258
155	('S', 59)	 0.187
156	('S', 60)	 0.258
157	('O', 1)	 0.137
158	('O', 2)	 0.172
159	('O', 3)	 0.137
160	('O', 4)	 0.172
161	('O', 5)	 0.117
162	('O', 6)	 0.639
163	('O', 7)	 0.639
164	('O', 8)	 0.117
166	('O', 10)	 0.190
168	('O', 12)	 0.190
169	('O', 13)	 0.445
172	('O', 16)	 0.445
173	('O', 17)	 0.122
174	('O', 18)	 0.358
175	('O', 19)	 0.122
176	('O', 20)	 0.358
177	('O', 21)	 0.389
178	('O', 22)	 0.103
179	('O', 23)	 0.103
180	('O', 24)	 0.389
181	('O', 25)	 0.104
182	('O', 26)	 0.321
183	('O', 27)	 0.321
184	('O', 28)	 0.104
185	('O', 29)	 0.158
186	('O', 30)	 0.158
187	('O', 31)	 0.158
188	('O', 32)	 0.158
189	('O', 33)	 0.105
190	('O', 34)	 0.105
191	('O', 35)	 0.105
192	('O', 36)	 0.105
205	('O', 49)	 0.141
206	('O', 50)	 0.141
207	('O', 51)	 0.141
208	('O', 52)	 0.141
209	('O', 53)	 0.124
210	('O', 54)	 0.124
211	('O', 55)	 0.124
212	('O', 56)	 0.124
213	('O', 57)	 0.172
214	('O', 58)	 0.137
215	('O', 59)	 0.172
216	('O', 60)	 0.137
217	('O', 61)	 0.639
218	('O', 62)	 0.117
219	('O', 63)	 0.117
220	('O', 64)	 0.639
221	('O', 65)	 0.190
223	('O', 67)	 0.190
226	('O', 70)	 0.445
227	('O', 71)	 0.445
229	('O', 73)	 0.358
230	('O', 74)	 0.122
231	('O', 75)	 0.358
232	('O', 76)	 0.122
233	('O', 77)	 0.103
234	('O', 78)	 0.389
235	('O', 79)	 0.389
236	('O', 80)	 0.103
237	('O', 81)	 0.321
238	('O', 82)	 0.104
239	('O', 83)	 0.104
240	('O', 84)	 0.321
