slab_thickness,vac_thickness,slab_index,surface_energy,slab_toten,slab_per_atom,time_taken
40,40,singleshot,1.5420064991555518,-471.87055217,-6.553757669027778,320.237
50,40,singleshot,1.5410318394297366,-590.88559383,-6.565395486999999,455.142
40,20,singleshot,1.5382392089650714,-471.88076204,-6.553899472777777,239.402
40,30,singleshot,1.541000267426894,-471.87327935,-6.553795546527778,282.523
50,20,singleshot,1.5374805181588362,-590.89521835,-6.565502426111111,368.172
50,30,singleshot,1.5397291192546938,-590.88912418,-6.56543471311111,416.147
20,20,singleshot,1.5367918094520716,-233.85988469,-6.4961079080555555,77.058
20,30,singleshot,1.5386666068888477,-233.85480401,-6.495966778055556,95.830
10,40,singleshot,1.5383442835986134,-114.84327755,-6.380182086111111,49.496
30,20,singleshot,1.5378566623396916,-352.86939907,-6.534618501296296,144.030
30,30,singleshot,1.5405519966788317,-352.86209407,-6.534483223518519,173.992
20,40,singleshot,1.5400783562987812,-233.8509777,-6.495860491666666,114.259
30,40,singleshot,1.541958311518726,-352.85828292,-6.534412646666667,200.422
10,20,singleshot,1.53736282627555,-114.84593718,-6.3803298433333335,33.332
10,30,singleshot,1.5376955610366327,-114.8450354,-6.380279744444445,41.441
10,20,relaxed,1.2141214135964542,-115.72196547,-6.428998081666666,182.65900000000002
10,30,relaxed,1.2144085436139522,-115.72118729,-6.4289548494444455,251.351
10,40,relaxed,1.2151339788812714,-115.71922148,-6.428845637777778,306.593
20,20,relaxed,1.166308627496797,-234.86394462,-6.523998461666667,699.36
20,30,relaxed,1.1681264327378462,-234.85901833,-6.523861620277778,943.697
20,40,relaxed,1.1694973859048403,-234.85530265,-6.523758406944443,1085.497
30,20,relaxed,1.176394231395182,-353.84901147,-6.5527594716666675,1313.9270000000001
30,30,relaxed,1.179019589545245,-353.84189618,-6.552627707037038,1557.144
30,40,relaxed,1.180042578146295,-353.83912386,-6.552576367777778,2057.185
40,20,relaxed,1.1753265797509032,-472.86430474,-6.567559788055557,2142.237
40,30,relaxed,1.1780532537916588,-472.8569152,-6.567457155555554,2441.0530000000003
40,40,relaxed,1.1792269997756493,-472.85373407,-6.567412973194443,2886.9240000000004
50,20,relaxed,1.1746128990565678,-591.87863903,-6.576429322555557,3447.085
50,30,relaxed,1.1770403902163002,-591.87206008,-6.576356223111111,4576.683
50,40,relaxed,1.1781629692974689,-591.86901789,-6.576322421,5742.336

